Customer ID,Recency,Frequency,Monetary,Cluster,Segment
AR-10540,7,6,6608.448,3,VIP
AR-10570,416,1,88.15,2,Lost
AR-10825,59,8,4523.336,0,Loyal
AS-10045,89,7,3050.692,0,Loyal
AS-10090,29,9,3255.31,0,Loyal
AS-10135,42,2,58.82,1,Potential
AS-10225,23,5,4260.784,1,Potential
AS-10240,193,5,503.968,1,Potential
AS-10285,20,6,3214.236,1,Potential
AS-10630,93,7,833.398,1,Potential
AT-10435,22,5,1166.0720000000001,1,Potential
AT-10735,14,10,3831.864,0,Loyal
AW-10840,21,4,649.376,1,Potential
AW-10930,47,7,2852.968,0,Loyal
AY-10555,15,4,497.014,1,Potential
AZ-10750,161,6,1622.0179999999998,1,Potential
BB-10990,106,5,744.3399999999999,1,Potential
BB-11545,29,9,6765.728,3,VIP
BC-11125,203,9,2933.676,0,Loyal
BD-11320,34,12,5718.521,3,VIP
BD-11500,36,6,4411.2429999999995,0,Loyal
BD-11560,279,2,320.54,2,Lost
BD-11605,98,6,2783.189,1,Potential
BD-11620,70,6,1538.11,1,Potential
BD-11635,10,3,582.646,1,Potential
BD-11725,94,6,1526.5,1,Potential
BD-11770,328,6,658.466,2,Lost
BE-11335,120,5,4204.676,1,Potential
BE-11410,99,5,2261.438,1,Potential
BE-11455,416,5,748.026,2,Lost
BF-10975,92,7,599.798,1,Potential
BF-11005,40,4,1333.88,1,Potential
BF-11020,75,8,2888.506,0,Loyal
BF-11080,26,3,272.95,1,Potential
BF-11170,17,11,5907.972,3,VIP
BF-11215,66,4,1585.162,1,Potential
BF-11275,58,3,791.9899999999999,1,Potential
BG-11035,29,8,2798.948,0,Loyal
BG-11695,37,6,1874.172,1,Potential
BG-11740,58,6,1006.356,1,Potential
BH-11710,24,8,6255.351,3,VIP
BK-11260,78,6,659.1379999999999,1,Potential
BM-11140,308,4,7553.446,3,VIP
BM-11575,101,6,808.162,1,Potential
BM-11650,34,11,7294.185,3,VIP
BM-11785,219,10,1338.842,0,Loyal
BN-11470,25,4,265.296,1,Potential
BN-11515,10,5,1459.344,1,Potential
BO-11350,138,5,2682.728,1,Potential
BO-11425,76,2,130.83,1,Potential
BP-11050,84,5,983.42,1,Potential
BP-11095,18,12,2442.044,0,Loyal
BP-11155,90,6,1697.8609999999999,1,Potential
BP-11185,2,9,3675.861,0,Loyal
BP-11230,40,5,1181.49,1,Potential
BP-11290,13,7,2475.157,0,Loyal
BS-11365,416,5,7553.446,3,VIP
BS-11380,29,5,3887.834,1,Potential
BS-11590,36,6,2454.928,1,Potential
BS-11665,416,3,3288.1099999999997,2,Lost
BS-11755,2,7,2562.382,0,Loyal
BS-11800,266,2,949.4300000000001,2,Lost
BT-11305,337,5,2567.656,2,Lost
BT-11395,303,6,2186.6130000000003,2,Lost
BT-11440,416,4,603.876,2,Lost
BT-11485,416,2,415.19599999999997,2,Lost
BT-11530,92,5,2684.4919999999997,1,Potential
BT-11680,21,7,3196.752,0,Loyal
BV-11245,335,5,1523.2730000000001,2,Lost
BW-11065,213,3,385.516,2,Lost
BW-11110,122,8,4750.358,3,VIP
BW-11200,204,6,1738.406,1,Potential
CA-11965,97,6,3789.7228,0,Loyal
CA-12055,402,5,1679.7240000000002,2,Lost
CA-12265,57,8,2638.3272,0,Loyal
CA-12310,14,4,1421.954,1,Potential
CA-12775,121,7,3041.566,0,Loyal
CB-12025,48,9,5730.669,3,VIP
CB-12415,27,8,1949.2,0,Loyal
CB-12535,198,8,4246.4555,3,VIP
CC-12100,416,5,1685.889,2,Lost
CC-12145,107,7,2471.65,0,Loyal
CC-12220,21,11,3670.258,0,Loyal
CC-12370,44,5,7553.446,3,VIP
CC-12430,1,10,2870.05,0,Loyal
CC-12475,40,9,1659.438,0,Loyal
CC-12550,28,3,113.832,1,Potential
CC-12610,35,7,2540.631,0,Loyal
CC-12670,30,7,2269.7015,0,Loyal
CC-12685,416,4,2854.1150000000002,2,Lost
CD-11920,41,5,2033.968,1,Potential
CD-11980,55,3,639.766,1,Potential
CD-12280,43,2,1205.584,1,Potential
CD-12790,400,5,1860.732,2,Lost
CG-12040,50,6,904.4680000000001,1,Potential
CG-12520,339,3,1148.7800000000002,2,Lost
CH-12070,416,3,1537.236,2,Lost
CJ-11875,366,1,16.52,2,Lost
CJ-12010,190,8,7553.446,3,VIP
CK-12205,40,13,3154.855,0,Loyal
CK-12325,121,5,2945.321,1,Potential
CK-12595,44,11,2372.75,0,Loyal
CK-12760,83,9,1582.109,0,Loyal
CL-11890,107,4,1262.0140000000001,1,Potential
CL-12565,285,12,7553.446,3,VIP
CL-12700,261,4,2335.586,2,Lost
CM-11815,132,6,1673.888,1,Potential
CM-11935,416,2,565.392,2,Lost
CM-12115,9,4,1661.6100000000001,1,Potential
CM-12160,27,6,2533.314,1,Potential
CM-12190,9,6,1475.144,1,Potential
CM-12235,386,5,2305.712,2,Lost
CM-12385,38,4,7553.446,3,VIP
CM-12445,416,3,287.99,2,Lost
CM-12655,28,5,5890.508,3,VIP
CM-12715,416,4,3984.4524,2,Lost
CP-12085,83,8,5402.254,3,VIP
CP-12340,161,7,5817.187,3,VIP
CR-12580,58,4,2148.852,1,Potential
CR-12625,416,3,475.9,2,Lost
CR-12730,79,4,1600.55,1,Potential
CR-12820,86,3,1397.8724,1,Potential
CS-11845,92,5,1278.954,1,Potential
CS-11860,163,6,537.632,1,Potential
CS-11950,26,11,3036.547,0,Loyal
CS-12130,416,4,884.64,2,Lost
CS-12175,233,5,844.4580000000001,2,Lost
CS-12250,27,12,2754.216,0,Loyal
CS-12355,7,11,3202.1620000000003,0,Loyal
CS-12400,3,9,3651.8585000000003,0,Loyal
CS-12460,28,2,550.644,1,Potential
CS-12490,416,4,970.1105,2,Lost
CS-12505,59,6,5690.054999999999,3,VIP
CT-11995,97,8,3241.898,0,Loyal
CV-12295,255,5,2830.6279999999997,2,Lost
CV-12805,6,9,2370.3136,0,Loyal
CW-11905,23,6,1136.592,1,Potential
CY-12745,61,7,2004.0819999999999,0,Loyal
Co-12640,416,5,1300.076,2,Lost
DA-13450,353,4,156.76,2,Lost
DB-12910,22,8,2171.599,0,Loyal
DB-12970,242,4,2469.6672,2,Lost
DB-13060,17,6,4151.51,0,Loyal
DB-13120,49,7,2973.094,0,Loyal
DB-13210,10,10,2332.577,0,Loyal
DB-13270,54,8,4655.897,0,Loyal
DB-13360,265,5,1081.466,2,Lost
DB-13405,188,4,1711.692,1,Potential
DB-13555,108,7,3908.8028,0,Loyal
DB-13615,34,7,1989.05,0,Loyal
DB-13660,13,7,1155.202,1,Potential
DC-12850,38,9,3336.168,0,Loyal
DC-13285,24,5,1174.618,1,Potential
DD-13570,42,6,269.542,1,Potential
DE-13255,416,5,2550.874,2,Lost
DF-13135,416,3,2390.534,2,Lost
DG-13300,33,5,3195.818,1,Potential
DH-13075,278,5,3487.1980000000003,2,Lost
DH-13675,416,4,1043.096,2,Lost
DJ-13420,416,4,2012.52,2,Lost
DJ-13510,49,8,2501.6879999999996,0,Loyal
DJ-13630,13,3,3356.398,1,Potential
DK-12835,22,12,3256.48,0,Loyal
DK-12895,46,5,4282.176,1,Potential
DK-12985,8,5,1687.04,1,Potential
DK-13090,43,7,2650.557,0,Loyal
DK-13150,11,2,797.832,1,Potential
DK-13225,11,9,4802.394,0,Loyal
DK-13375,20,8,3318.486,0,Loyal
DL-12865,101,7,444.024,1,Potential
DL-12925,58,6,3272.2,1,Potential
DL-13315,23,8,1458.258,0,Loyal
DL-13330,58,4,585.02,1,Potential
DL-13495,77,8,3539.322,0,Loyal
DM-12955,115,7,1322.034,1,Potential
DM-13015,58,7,6345.103,3,VIP
DM-13345,23,8,4074.4719999999998,0,Loyal
DM-13525,416,3,1376.792,2,Lost
DN-13690,218,7,2139.79,0,Loyal
DO-13435,134,9,1300.0315,0,Loyal
DO-13645,27,7,1267.316,1,Potential
DP-13000,127,8,897.524,0,Loyal
DP-13105,7,8,2215.002,0,Loyal
DP-13165,416,2,1058.616,2,Lost
DP-13390,359,9,5480.723999999999,3,VIP
DR-12880,4,9,6528.034000000001,3,VIP
DR-12940,51,8,7553.446,3,VIP
DS-13030,94,4,1762.213,1,Potential
DS-13180,24,9,2881.8128,0,Loyal
DV-13045,20,5,1119.483,1,Potential
DV-13465,30,5,3254.487,1,Potential
DW-13195,70,6,1080.751,1,Potential
DW-13480,218,5,5271.628,3,VIP
DW-13540,99,5,344.08,1,Potential
DW-13585,243,7,1204.854,2,Lost
Dl-13600,120,5,755.602,1,Potential
Dp-13240,85,11,7198.7609999999995,3,VIP
EA-14035,153,12,2752.441,0,Loyal
EB-13705,49,9,3644.978,0,Loyal
EB-13750,36,10,3236.314,0,Loyal
EB-13840,91,4,964.448,1,Potential
EB-13870,101,10,2767.219,0,Loyal
EB-13930,162,5,944.6000000000001,1,Potential
EB-13975,1,4,1643.255,1,Potential
EB-14110,114,6,3071.126,1,Potential
EB-14170,83,6,1186.326,1,Potential
EC-14050,54,5,461.914,1,Potential
ED-13885,136,8,3484.92,0,Loyal
EG-13900,23,5,1832.02,1,Potential
EH-13765,136,10,7553.446,3,VIP
EH-13945,218,8,684.1709999999999,0,Loyal
EH-13990,406,6,825.9499999999999,2,Lost
EH-14005,3,7,1219.53,1,Potential
EH-14125,153,10,3082.653,0,Loyal
EH-14185,106,6,923.884,1,Potential
EJ-13720,303,4,2162.174,2,Lost
EJ-14155,58,5,2656.691,1,Potential
EK-13795,45,4,1303.478,1,Potential
EL-13735,78,2,124.28,1,Potential
EM-13810,133,5,2567.0099999999998,1,Potential
EM-13825,56,8,2339.598,0,Loyal
EM-13960,152,5,933.704,1,Potential
EM-14065,48,4,228.99,1,Potential
EM-14095,114,4,1041.0420000000001,1,Potential
EM-14140,49,6,4588.436000000001,3,VIP
EM-14200,159,3,366.822,1,Potential
EN-13780,288,4,2199.366,2,Lost
EP-13915,13,14,5478.0608,0,Loyal
ER-13855,416,3,1245.788,2,Lost
ES-14020,41,5,3510.4579999999996,1,Potential
ES-14080,29,9,4657.924,0,Loyal
FA-14230,98,7,2984.054,0,Loyal
FC-14245,71,7,3418.742,0,Loyal
FC-14335,185,7,3889.366,0,Loyal
FG-14260,35,7,1383.144,1,Potential
FH-14275,38,10,4256.272,0,Loyal
FH-14350,213,4,2271.284,1,Potential
FH-14365,6,8,6987.196,3,VIP
FM-14215,8,10,2456.638,0,Loyal
FM-14290,37,9,3736.198,0,Loyal
FM-14380,146,9,2523.266,0,Loyal
FO-14305,39,10,2678.438,0,Loyal
FP-14320,24,8,4046.746,0,Loyal
FW-14395,363,3,79.75,2,Lost
GA-14515,150,5,3797.2320000000004,1,Potential
GA-14725,6,11,1398.382,0,Loyal
GB-14530,63,11,1568.44,0,Loyal
GB-14575,14,5,4716.288,3,VIP
GD-14590,6,4,1888.07,1,Potential
GG-14650,44,9,2224.0,0,Loyal
GH-14410,76,9,2819.4669999999996,0,Loyal
GH-14425,51,4,4172.8460000000005,1,Potential
GH-14485,388,2,1361.2440000000001,2,Lost
GH-14665,3,2,146.94080000000002,1,Potential
GK-14620,113,9,6497.27,3,VIP
GM-14440,84,7,3582.8199999999997,0,Loyal
GM-14455,17,6,3078.624,1,Potential
GM-14500,107,10,1255.682,0,Loyal
GM-14680,153,6,3163.628,1,Potential
GM-14695,118,3,6049.966,3,VIP
GP-14740,416,2,236.53,2,Lost
GR-14560,416,2,1284.38,2,Lost
GT-14635,57,3,7553.446,3,VIP
GT-14710,37,11,7553.446,3,VIP
GT-14755,35,4,226.436,1,Potential
GW-14605,29,7,2189.019,0,Loyal
GZ-14470,8,9,4355.150000000001,0,Loyal
GZ-14545,158,4,2454.6220000000003,1,Potential
HA-14905,70,7,2163.3,0,Loyal
HA-14920,21,8,2584.158,0,Loyal
HD-14785,416,3,251.36,2,Lost
HE-14800,13,3,755.462,1,Potential
HF-14995,22,7,2533.1639999999998,0,Loyal
HG-14845,55,5,785.628,1,Potential
HG-14965,24,12,3247.642,0,Loyal
HG-15025,7,7,3690.284,0,Loyal
HH-15010,73,2,218.668,1,Potential
HJ-14875,127,5,358.1,1,Potential
HK-14890,152,8,4877.784,3,VIP
HL-15040,44,6,7553.446,3,VIP
HM-14860,3,10,7553.446,3,VIP
HM-14980,248,4,736.276,2,Lost
HP-14815,31,7,1990.314,0,Loyal
HR-14770,14,4,940.588,1,Potential
HR-14830,160,7,5248.787,3,VIP
HW-14935,118,7,4827.934,3,VIP
HZ-14950,36,5,886.52,1,Potential
IG-15085,72,4,744.574,1,Potential
IL-15100,143,7,5040.736,3,VIP
IM-15055,410,2,48.4,2,Lost
IM-15070,391,7,4930.474,2,Lost
JA-15970,93,8,6491.026,3,VIP
JB-15400,8,10,1791.605,0,Loyal
JB-15925,416,3,900.552,2,Lost
JB-16000,44,7,644.1188,1,Potential
JB-16045,8,5,2518.115,1,Potential
JC-15340,115,4,71.263,1,Potential
JC-15385,176,1,1058.108,1,Potential
JC-15775,159,9,2772.055,0,Loyal
JC-16105,58,5,858.576,1,Potential
JD-15790,118,5,2152.352,1,Potential
JD-15895,395,11,7553.446,3,VIP
JD-16015,113,6,385.43,1,Potential
JD-16060,301,3,695.442,2,Lost
JD-16150,42,8,7553.446,3,VIP
JE-15475,194,6,1388.682,1,Potential
JE-15610,49,7,7553.446,3,VIP
JE-15715,47,10,7553.446,3,VIP
JE-15745,52,13,6760.8150000000005,3,VIP
JE-16165,21,3,2697.248,1,Potential
JF-15190,66,6,2239.606,1,Potential
JF-15295,226,5,955.124,2,Lost
JF-15355,106,6,1911.844,1,Potential
JF-15415,3,5,2309.432,1,Potential
JF-15490,122,10,890.95,0,Loyal
JF-15565,55,8,4198.332,0,Loyal
JG-15115,416,3,2358.676,2,Lost
JG-15160,2,11,6366.392,3,VIP
JG-15310,3,6,2240.58,1,Potential
JG-15805,224,6,1507.018,1,Potential
JH-15430,6,4,309.281,1,Potential
JH-15820,175,6,528.91,1,Potential
JH-15910,42,7,959.477,1,Potential
JH-15985,30,6,7553.446,3,VIP
JH-16180,405,4,2256.3940000000002,2,Lost
JJ-15445,416,5,709.178,2,Lost
JJ-15760,416,2,195.0,2,Lost
JK-15205,62,4,4262.2919999999995,1,Potential
JK-15325,288,3,383.812,2,Lost
JK-15370,45,7,2136.458,0,Loyal
JK-15625,62,7,3760.028,0,Loyal
JK-15640,181,9,4760.434,3,VIP
JK-15730,85,9,4769.9,3,VIP
JK-16090,29,3,3747.668,1,Potential
JK-16120,118,10,2932.484,0,Loyal
JL-15130,9,6,1214.956,1,Potential
JL-15175,7,5,1571.523,1,Potential
JL-15235,120,5,2203.7,1,Potential
JL-15505,50,6,3173.874,1,Potential
JL-15835,22,10,7553.446,3,VIP
JL-15850,416,6,2725.256,2,Lost
JM-15250,38,6,3159.1220000000003,1,Potential
JM-15265,38,5,1804.146,1,Potential
JM-15535,103,7,1733.443,0,Loyal
JM-15580,1,5,303.948,1,Potential
JM-15655,9,5,864.947,1,Potential
JM-15865,110,7,7553.446,3,VIP
JM-16195,58,10,2833.9260000000004,0,Loyal
JO-15145,58,9,3254.949,0,Loyal
JO-15280,93,6,1934.272,1,Potential
JO-15550,216,5,1090.838,1,Potential
JP-15460,38,7,1669.135,0,Loyal
JP-15520,9,7,3635.594,0,Loyal
JP-16135,103,9,1707.71,0,Loyal
JR-15670,416,2,1156.658,2,Lost
JR-15700,69,1,863.88,1,Potential
JR-16210,34,5,2201.686,1,Potential
JS-15595,120,4,1417.654,1,Potential
JS-15685,43,3,990.1959999999999,1,Potential
JS-15880,416,5,3868.02,2,Lost
JS-15940,416,5,469.169,2,Lost
JS-16030,29,6,2516.494,1,Potential
JW-15220,43,6,7553.446,3,VIP
JW-15955,6,6,1049.2379999999998,1,Potential
JW-16075,416,4,1428.731,2,Lost
KA-16525,37,7,1519.506,0,Loyal
KB-16240,5,7,3152.6150000000002,0,Loyal
KB-16315,297,9,1569.464,0,Loyal
KB-16405,118,3,908.821,1,Potential
KB-16585,231,12,2744.742,0,Loyal
KB-16600,2,7,983.922,1,Potential
KC-16255,408,6,2120.954,2,Lost
KC-16540,98,4,3908.262,1,Potential
KC-16675,58,4,1146.05,1,Potential
KD-16270,416,5,7553.446,3,VIP
KD-16345,42,6,1888.964,1,Potential
KD-16495,113,12,7553.446,3,VIP
KD-16615,290,4,907.158,2,Lost
KE-16420,27,7,1453.2812000000001,1,Potential
KF-16285,98,7,7553.446,3,VIP
KH-16330,41,8,3312.864,0,Loyal
KH-16360,2,6,3100.612,1,Potential
KH-16510,23,6,5229.695000000001,3,VIP
KH-16630,59,9,3918.9660000000003,0,Loyal
KH-16690,3,7,5990.799,3,VIP
KL-16555,17,8,5016.488,3,VIP
KL-16645,48,12,7553.446,3,VIP
KM-16225,15,6,2260.958,1,Potential
KM-16375,57,8,5620.186,3,VIP
KM-16660,16,5,453.538,1,Potential
KM-16720,29,8,4909.472,3,VIP
KN-16390,20,8,2224.0860000000002,0,Loyal
KN-16450,53,5,2171.962,1,Potential
KN-16705,99,7,2003.01,0,Loyal
KS-16300,296,3,88.472,2,Lost
KT-16465,392,7,3057.1,2,Lost
KT-16480,101,10,4642.088400000001,0,Loyal
KW-16435,97,5,4416.5199999999995,1,Potential
KW-16570,416,4,449.096,2,Lost
LA-16780,155,11,7553.446,3,VIP
LB-16735,49,3,50.188,1,Potential
LB-16795,153,8,4985.676,3,VIP
LC-16870,28,8,2580.7039999999997,0,Loyal
LC-16885,17,12,7553.446,3,VIP
LC-16930,42,8,4492.946,0,Loyal
LC-16960,416,4,3246.626,2,Lost
LC-17050,55,5,2095.064,1,Potential
LC-17140,14,9,2633.582,0,Loyal
LD-16855,416,1,5.304,2,Lost
LD-17005,415,4,1961.934,2,Lost
LE-16810,22,6,1469.45,1,Potential
LF-17185,23,7,3930.5089999999996,0,Loyal
LH-16750,152,3,287.426,1,Potential
LH-16900,22,9,2295.332,0,Loyal
LH-17020,240,4,318.239,2,Lost
LH-17155,386,9,1739.689,2,Lost
LL-16840,250,5,2454.554,2,Lost
LM-17065,392,5,1346.774,2,Lost
LO-17170,3,5,644.35,1,Potential
LP-17080,41,4,756.606,1,Potential
LP-17095,10,6,3104.439,1,Potential
LR-16915,27,6,5142.892,3,VIP
LR-17035,133,5,1879.306,1,Potential
LS-16945,179,6,2845.27,1,Potential
LS-16975,21,9,2988.674,0,Loyal
LS-17200,97,6,1010.2560000000001,1,Potential
LS-17230,416,3,368.88000000000005,2,Lost
LS-17245,35,6,1008.1360000000001,1,Potential
LT-16765,27,3,329.876,1,Potential
LT-17110,35,8,2936.252,0,Loyal
LW-16825,89,5,2238.061,1,Potential
LW-16990,34,6,3230.308,1,Potential
LW-17125,206,3,1259.04,1,Potential
LW-17215,22,7,5420.514,3,VIP
MA-17560,65,11,4299.161,0,Loyal
MA-17995,187,6,2453.284,1,Potential
MB-17305,49,10,1548.702,0,Loyal
MB-18085,45,7,1428.231,1,Potential
MC-17275,77,8,2725.982,0,Loyal
MC-17425,400,5,4432.138,2,Lost
MC-17575,28,8,1303.893,0,Loyal
MC-17590,52,6,2426.067,1,Potential
MC-17605,113,8,2258.192,0,Loyal
MC-17635,190,4,795.154,1,Potential
MC-17845,2,7,3805.714,0,Loyal
MC-18100,42,10,2218.98,0,Loyal
MC-18130,370,5,1581.9979999999998,2,Lost
MD-17350,118,6,2716.412,1,Potential
MD-17860,37,5,1204.91,1,Potential
ME-17320,43,10,7553.446,3,VIP
ME-17725,29,8,1908.4532,0,Loyal
ME-18010,93,4,1256.944,1,Potential
MF-17665,416,5,937.039,2,Lost
MF-18250,8,5,1758.3,1,Potential
MG-17650,30,7,3785.276,0,Loyal
MG-17680,93,4,2350.188,1,Potential
MG-17695,416,3,1342.282,2,Lost
MG-17875,117,5,1242.8329999999999,1,Potential
MG-17890,100,9,776.384,0,Loyal
MG-18145,85,4,3061.543,1,Potential
MG-18205,265,1,16.739,2,Lost
MH-17290,295,5,1691.505,2,Lost
MH-17440,377,4,400.016,2,Lost
MH-17455,171,7,2146.694,0,Loyal
MH-17620,156,4,1252.8,1,Potential
MH-17785,99,7,2203.7780000000002,0,Loyal
MH-18025,50,5,2984.948,1,Potential
MH-18115,6,9,5503.093,3,VIP
MJ-17740,23,7,6320.746,3,VIP
MK-17905,29,8,2302.368,0,Loyal
MK-18160,241,4,1031.602,2,Lost
ML-17395,70,9,2722.843,0,Loyal
ML-17410,55,5,2885.26,1,Potential
ML-17755,30,7,2071.9139999999998,0,Loyal
ML-18040,80,3,742.082,1,Potential
ML-18265,101,2,162.232,1,Potential
MM-17260,169,4,1314.023,1,Potential
MM-17920,8,10,3640.2560000000003,0,Loyal
MM-18055,62,8,2749.881,0,Loyal
MM-18280,86,9,775.414,0,Loyal
MN-17935,35,6,2477.946,1,Potential
MO-17500,73,4,922.487,1,Potential
MO-17800,105,8,1687.0269999999998,0,Loyal
MO-17950,181,2,154.288,1,Potential
MP-17470,416,6,2945.822,2,Lost
MP-17965,73,9,3983.6420000000003,0,Loyal
MP-18175,17,8,4757.332,0,Loyal
MR-17545,126,4,639.178,1,Potential
MS-17365,274,10,7443.6900000000005,3,VIP
MS-17530,416,4,475.65599999999995,2,Lost
MS-17710,414,6,1613.402,2,Lost
MS-17770,122,9,3144.678,0,Loyal
MS-17830,416,4,370.348,2,Lost
MS-17980,27,6,855.116,1,Potential
MT-17815,50,6,2890.139,1,Potential
MT-18070,204,4,1319.4498,1,Potential
MV-17485,28,9,1560.05,0,Loyal
MV-18190,20,7,1734.574,0,Loyal
MW-18220,18,7,5341.900000000001,3,VIP
MW-18235,45,2,5253.876,1,Potential
MY-17380,30,7,2254.285,0,Loyal
MY-18295,72,10,3601.88,0,Loyal
MZ-17335,31,4,593.606,1,Potential
MZ-17515,283,6,2564.906,2,Lost
NB-18580,416,2,273.87199999999996,2,Lost
NB-18655,20,9,1972.599,0,Loyal
NC-18340,225,5,2461.404,1,Potential
NC-18415,42,6,2218.9900000000002,1,Potential
NC-18535,7,7,7553.446,3,VIP
NC-18625,205,5,1821.742,1,Potential
ND-18370,28,9,4326.139,0,Loyal
ND-18460,184,6,2893.455,1,Potential
NF-18385,80,6,7553.446,3,VIP
NF-18475,416,4,377.16200000000003,2,Lost
NF-18595,115,7,2031.472,0,Loyal
NG-18355,49,5,1869.58,1,Potential
NG-18430,49,5,1395.9379999999999,1,Potential
NH-18610,190,6,2518.6659999999997,1,Potential
NK-18490,71,7,572.048,1,Potential
NL-18310,59,4,1418.0900000000001,1,Potential
NM-18445,161,7,6459.344,3,VIP
NM-18520,245,10,2161.979,0,Loyal
NP-18325,26,6,5529.62,3,VIP
NP-18670,59,5,3908.402,1,Potential
NP-18685,407,5,1164.73,2,Lost
NP-18700,139,7,7553.446,3,VIP
NR-18550,211,5,2367.277,1,Potential
NS-18505,7,4,2575.863,1,Potential
NS-18640,175,12,2857.753,0,Loyal
NW-18400,173,7,7234.014,3,VIP
NZ-18565,86,9,2488.31,0,Loyal
ON-18715,411,9,1567.52,2,Lost
OT-18730,66,5,3818.624,1,Potential
PA-19060,104,6,729.408,1,Potential
PB-18805,26,3,740.356,1,Potential
PB-19105,58,4,688.324,1,Potential
PB-19150,98,8,1456.95,0,Loyal
PB-19210,416,2,132.738,2,Lost
PC-18745,3,4,1832.064,1,Potential
PC-19000,416,2,1061.488,2,Lost
PF-19120,416,4,7553.446,3,VIP
PF-19165,197,6,2770.0,1,Potential
PF-19225,115,5,2206.1279999999997,1,Potential
PG-18820,37,13,3086.907,0,Loyal
PG-18895,58,9,1987.164,0,Loyal
PH-18790,71,1,729.648,1,Potential
PJ-18835,40,8,1220.09,0,Loyal
PJ-19015,135,6,1677.536,1,Potential
PK-18910,416,2,1441.152,2,Lost
PK-19075,10,12,7553.446,3,VIP
PL-18925,16,5,239.481,1,Potential
PM-18940,387,3,1405.402,2,Lost
PM-19135,52,4,4115.662,1,Potential
PN-18775,31,8,1467.152,0,Loyal
PO-18850,5,11,7473.8282,3,VIP
PO-18865,1,7,2493.214,0,Loyal
PO-19180,161,9,4893.043,3,VIP
PO-19195,87,5,1056.858,1,Potential
PP-18955,98,10,7252.608,3,VIP
PR-18880,37,5,1840.178,1,Potential
PS-18760,108,6,2181.479,1,Potential
PS-18970,70,8,1278.639,0,Loyal
PS-19045,237,7,6843.634,3,VIP
PT-19090,72,3,158.46,1,Potential
PV-18985,90,5,2876.046,1,Potential
PW-19030,47,10,3454.916,0,Loyal
PW-19240,416,7,3922.4150000000004,2,Lost
QJ-19255,26,9,6108.338,3,VIP
RA-19285,6,9,2617.906,0,Loyal
RA-19885,56,6,3546.224,1,Potential
RA-19915,13,9,4793.543,0,Loyal
RA-19945,62,5,1686.9225,1,Potential
RB-19330,69,2,1008.1959999999999,1,Potential
RB-19360,97,6,7553.446,3,VIP
RB-19435,42,7,1864.156,0,Loyal
RB-19465,10,12,4715.466,0,Loyal
RB-19570,26,5,528.546,1,Potential
RB-19645,416,5,221.084,2,Lost
RB-19705,55,4,2067.45,1,Potential
RB-19795,33,8,5633.316000000001,3,VIP
RC-19825,370,6,966.409,2,Lost
RC-19960,111,4,652.644,1,Potential
RD-19480,73,8,4272.93,0,Loyal
RD-19585,181,9,2832.904,0,Loyal
RD-19660,115,4,2745.892,1,Potential
RD-19720,22,10,1419.737,0,Loyal
RD-19810,15,8,1137.616,0,Loyal
RD-19900,115,9,3133.924,0,Loyal
RD-19930,43,4,970.9420000000001,1,Potential
RE-19405,416,1,48.36,2,Lost
RE-19450,303,4,666.52,2,Lost
RF-19345,391,8,3309.15,2,Lost
RF-19735,90,7,2341.2960000000003,0,Loyal
RF-19840,7,7,938.862,1,Potential
